Entry,verb,stemlem,Positiv,Negativ,Strong,Weak,Active,Passive,Defined,commonness
COLLECT#1,collect,collect,,,Strong,,Active,,"| 87% verb: To accumulate, acquire",87.0
COLLIDE,collide,collid,,Negativ,,,Active,,|,
COLLUSION,collusion,collus,,Negativ,,,Active,,|,
COLOR#3,color,color,,,,,,,"| 1% verb: To give character or distinguishing quality to, to impart hue,  shade, or tint to something",1.0
COMBAT#2,combat,combat,,Negativ,Strong,,Active,,|,
COMBINE#2,combine,combin,,,Strong,,Active,,|,
COMFORT#2,comfort,comfort,Positiv,,Strong,,,,| 29% verb: To solace,29.0
COMMAND#2,command,command,,,Strong,,Active,,|,
COMMEMORATE,commemorate,commemor,Positiv,,,,Active,,|,
COMMENCE,commence,commenc,,,,,Active,,|,
COMMEND,commend,commend,Positiv,,,,Active,,|,
COMMENT#2,comment,comment,,,,,,,| 16% verb: To make a remark,16.0
COMMIT#1,commit,commit,,Negativ,,,Active,,| 71% verb: To do or perpetrate,71.0
COMMIT#2,commit,commit,,,,,Active,,"| 15% verb: To bind, to consign",15.0
COMMUNICATE#1,communicate,communic,Positiv,,,,,,"| 96% verb: To make known, to impart to someone else",96.0
COMPARE,compare,compar,,,,,Active,,|,
COMPEL#2,compel,compel,,Negativ,Strong,,Active,,|,
COMPENSATE,compensate,compens,Positiv,,Strong,,Active,,|,
COMPETE,compete,compet,,Negativ,Strong,,Active,,|,
COMPILE,compile,compil,,,,,Active,,|,
COMPLAIN,complain,complain,,Negativ,,,Active,,| verb: To express dissatisfaction or pain,
COMPLEMENT#2,complement,complement,Positiv,,,,,,|,
COMPLETE#2,complete,complet,Positiv,,Strong,,,,"| 23% verb: To finish, to bring to a conclusion or consummation, to fulfill  or make whole or entire",23.0
COMPLICATE#2,complicate,complic,,Negativ,,,,,|,
COMPLIMENT,compliment,compliment,Positiv,,,,Active,,|,
COMPLY,comply,compli,,,,,,Passive,|,
COMPOSE,compose,compos,,,,,,,,
COMPOUND#2,compound,compound,,,Strong,,,,|,
COMPREHEND,comprehend,comprehend,Positiv,,,,Active,,|,
COMPRESS#2,compress,compress,,,Strong,,Active,,|,
COMPRISE,comprise,compris,,,,,,Passive,|,
COMPROMISE#2,compromise,compromis,Positiv,,,,,Passive,|,
COMPUTE,compute,comput,,,,,Active,,|,
CONCEAL,conceal,conceal,,Negativ,,,,,|,
CONCEDE,concede,conced,,,,Weak,,Passive,|,
CONCEIVE,conceive,conceiv,,,,,,Passive,|,
CONCENTRATE#2,concentrate,concentr,,,Strong,,Active,,|,
CONCERN#1,concern,concern,,Negativ,,,,Passive,"| 58% verb-adj: To be of interest or importance to--to trouble, worry, or  disquiet, to be interested in, relevant to, or worried about",58.0
CONCLUDE,conclude,conclud,,,,,Active,,|,
CONCUR,concur,concur,Positiv,,,,Active,,|,
CONDEMN#2,condemn,condemn,,Negativ,Strong,,,,|,
CONDENSE,condense,condens,,,,,,,|,
CONDITION#4,condition,condit,,,,,Active,,"| 3% verb: To subject to certain circumstances, thereby rendering in a (specific)  condition (cf. b.f. skinner)",3.0
CONDONE,condone,condon,Positiv,,,,Active,,|,
CONDUCT#3,conduct,conduct,,,,,Active,,"| 32% verb: To perform, carry out, manage",32.0
CONFER,confer,confer,Positiv,,,,Active,,|,
CONFESS,confess,confess,,Negativ,,Weak,,Passive,|,
CONFIDE,confide,confid,Positiv,,,,,Passive,|,
CONFINE#2,confine,confin,,Negativ,Strong,,Active,,|,
CONFIRM#2,confirm,confirm,,,Strong,,,,|,
CONFISCATE,confiscate,confisc,,Negativ,,,Active,,|,
CONFLICT#3,conflict,conflict,,Negativ,,,Active,,| 0% verb: To disagree or struggle,0.0
CONFORM,conform,conform,,,,Weak,,Passive,|,
CONFOUND,confound,confound,,Negativ,,,,,|,
CONFRONT,confront,confront,,Negativ,Strong,,Active,,"| verb: To challenge, face",
CONGRATULATE,congratulate,congratul,Positiv,,,,Active,,|,
CONGREGATE,congregate,congreg,Positiv,,,,Active,,|,
CONJURE,conjure,conjur,Positiv,,Strong,,Active,,|,
CONNECT,connect,connect,Positiv,,,,Active,,|,
CONQUER,conquer,conquer,Positiv,,Strong,,Active,,|,
CONSECRATE,consecrate,consecr,,,,,,,,
CONSENT#2,consent,consent,Positiv,,Strong,,,Passive,|,
CONSERVE,conserve,conserv,Positiv,,,,Active,,|,
CONSIDER#1,consider,consid,Positiv,,,,,,"| verb: To think about or bear in mind--to regard or deem to be; to regard  with respect, thoughtfulness, etc. (2)",
CONSIGN,consign,consign,Positiv,,,,Active,,|,
CONSIST,consist,consist,,,,,,Passive,|,
CONSOLE,console,consol,Positiv,,,,Active,,|,
CONSOLIDATE,consolidate,consolid,Positiv,,Strong,,,,|,
CONSPIRE,conspire,conspir,,Negativ,,,Active,,|,
CONSTITUTE,constitute,constitut,,,Strong,,,Passive,|,
CONSTRAIN,constrain,constrain,,Negativ,Strong,,,,|,
CONSTRUCT,construct,construct,,,Strong,,Active,,|,
CONSTRUE,construe,constru,,,,,,,|,
CONSULT,consult,consult,Positiv,,,,,,|,
CONSUME,consume,consum,,,,,Active,,|,
CONSUMMATE,consummate,consumm,Positiv,,,,Active,,|,
CONTACT#2,contact,contact,Positiv,,,,Active,,"| 1% verb: To communicate with, meet",1.0
CONTAIN,contain,contain,,,Strong,,Active,,|,
CONTAMINATE,contaminate,contamin,,Negativ,,,Active,,|,
CONTEMPLATE,contemplate,contempl,,,,,,Passive,|,
CONTEND,contend,contend,,Negativ,Strong,,Active,,|,
CONTENT#5,content,content,Positiv,,,,,Passive,| 0% verb: To satisfy,0.0
CONTEST#2,contest,contest,,,Strong,,Active,,|,
CONTINUE#1,continue,continu,,,Strong,,Active,,"| 95% verb: To go on, keep on, extend",95.0
CONTRADICT,contradict,contradict,,Negativ,,,,,|,
CONTRAST#2,contrast,contrast,,,,,,,|,
CONTRIBUTE#1,contribute,contribut,Positiv,,Strong,,Active,,| 97% verb: To give or add,97.0
CONTRIVE,contrive,contriv,,,,,,,,
CONTROL#2,control,control,,,Strong,,Active,,"| 26% verb: To restrain, direct, regulate",26.0
CONVENE,convene,conven,Positiv,,,,Active,,|,
CONVERSE,converse,convers,,,,,,,|,
CONVERT#2,convert,convert,,,Strong,,Active,,|,
CONVEY,convey,convey,,,,,Active,,|,
CONVICT#2,convict,convict,,Negativ,Strong,,Active,,|,
CONVINCE#1,convince,convinc,Positiv,,Strong,,Active,,"| 83% verb: To persuade by argument or proof, cause to believe",83.0
CONVINCED#2,convinced,convinc,,,,,,Passive,| 15% verb: Caused to believe,15.0
CONVULSE,convulse,convuls,,,,,,,|,
COOK#1,cook,cook,,,,,,,| 74% verb: To prepare food or subject anything to the action of heat,74.0
COOL,cool,cool,,Negativ,,,,Passive,|,
COOPERATE,cooperate,cooper,Positiv,,Strong,,Active,,|,
COORDINATE,coordinate,coordin,Positiv,,Strong,,Active,,|,
COPE,cope,cope,,,,,,Passive,|,
COPY#2,copy,copi,,,,,Active,,|,
CORRECT#2,correct,correct,Positiv,,Strong,,,,"| 54% verb: To make right, improve; to point out error (0)",54.0
CORRELATE#2,correlate,correl,,,,,,,|,
CORRESPOND,correspond,correspond,,,,,,,|,
CORRODE,corrode,corrod,,Negativ,,,,Passive,|,
COST#2,cost,cost,,Negativ,,,,,| 33% verb: To require or result in an expenditure,33.0
COULD,could,could,,,,,,,| verb: Past form of 'can'; auxiliary used with present and future verbs  to express lesser degree of possibility,
COUNSEL#2,counsel,counsel,Positiv,,,,,,|,
COUNT#2,count,count,,,,,,,|,
COUNTERACT,counteract,counteract,,Negativ,Strong,,Active,,|,
COUNTERBALANCE,counterbalance,counterbal,,,,,,,,
COUPLE#3,couple,coupl,,,,,,,| 1% verb: To join or link,1.0
COURT#2,court,court,,,,,Active,,"| 9% verb: To woo or try to get, seek",9.0
COVER#2,cover,cover,,,,,Active,,"| 87% verb: To conceal, protect; to coat, be smeared or buried (25); to  encompass, deal with, range over (11); meet an expense (6)",87.0
COVET,covet,covet,,Negativ,,Weak,,Passive,|,
CRACK#2,crack,crack,,,,Weak,Active,,|,
CRAM,cram,cram,,Negativ,,,Active,,|,
CRAMP,cramp,cramp,,Negativ,,,Active,,|,
CRASH#2,crash,crash,,,,,,,|,
CRAVE,crave,crave,,Negativ,,Weak,,Passive,|,
CRAWL#1,crawl,crawl,,,,Weak,Active,,"| 92% verb: To move laboriously, close to the ground",92.0
CREAM#2,cream,cream,,,Strong,,Active,,|,
CREATE,create,creat,Positiv,,Strong,,Active,,"| verb: To cause to come into being, to happen, to bring about.",
CREEP#2,creep,creep,,,,Weak,Active,,|,
CREPT,crept,creep,,,,Weak,Active,,|,
CRINGE,cringe,cring,,Negativ,,,,Passive,|,
CRIPPLE,cripple,crippl,,Negativ,,,Active,,|,
CRITICIZE,criticize,critic,,Negativ,,,,,|,
CROAK,croak,croak,,Negativ,,,,Passive,|,
CROP#2,crop,crop,,,,,,,| 4% verb: To cut off the tops or ends of,4.0
CROUCH#2,crouch,crouch,,,,,,,|,
CROWD#3,crowd,crowd,,,Strong,,Active,,| 21% verb: To throng,21.0
CROWN#2,crown,crown,,,,,,,|,
CRUMBLE,crumble,crumbl,,Negativ,,Weak,,Passive,|,
CRUMPLE,crumple,crumpl,,Negativ,,Weak,,Passive,|,
CRUSH#2,crush,crush,,Negativ,Strong,,Active,,|,
CRY#1,cry,cri,,,,,,Passive,"| 95% verb: To utter inarticulate or loud sounds, especially of lamentation,  grief, suffering or fright--usually with tears",95.0
CUDDLE,cuddle,cuddl,Positiv,,,,Active,,|,
CULMINATE,culminate,culmin,Positiv,,,,Active,,|,
CULTIVATE#2,cultivate,cultiv,Positiv,,,,Active,,|,
CURB#2,curb,curb,,,Strong,,Active,,|,
CURE#2,cure,cure,Positiv,,,,,,| 89% verb: To restore to health,89.0
CURL#2,curl,curl,,,,,,,|,
CURSE#2,curse,curs,,Negativ,,,,,|,
CURTAIL,curtail,curtail,,Negativ,,,Active,,|,
CURTSEY,curtsey,curtsey,Positiv,,,,Active,,|,
CUT#1,cut,cut,,Negativ,Strong,,Active,,"| 88% verb-adj-noun: To penetrate or divide with or as with a sharp-edged  instrument; the resulting penetration or division (3); to isolate, snub,  or",88.0
DAMAGE#2,damage,damag,,Negativ,Strong,,Active,,|,
DANCE#2,dance,danc,Positiv,,,,Active,,| 49% verb: To move rhythmically,49.0
DARE,dare,dare,Positiv,,,,,,|,
DARKEN,darken,darken,,Negativ,,,,,|,
DASH,dash,dash,,,,,Active,,|,
DAWDLE,dawdle,dawdl,,Negativ,,,Active,,|,
DAWN#2,dawn,dawn,Positiv,,,,,,"| 18% verb: To begin to grow light, to begin to develop",18.0
DAZZLE,dazzle,dazzl,Positiv,,Strong,,Active,,|,
DEAL#2,deal,deal,,,,,Active,,"| 34% verb: To take action with respect to something or someone, to handle",34.0
DEBATE#2,debate,debat,,,,,Active,,| 38% verb: To carry on a debate,38.0
DECAY#2,decay,decay,,Negativ,,Weak,,Passive,|,
DECEASE,decease,deceas,,Negativ,,,Active,,|,
DECEIVE#2,deceive,deceiv,,Negativ,,,Active,,|,
DECENTRALIZE,decentralize,decentr,,,,,,,,
DECIDE#1,decide,decid,,,Strong,,Active,,"| 98% verb: To settle something in dispute or in doubt, conclusion",98.0
DECIPHER,decipher,deciph,Positiv,,,,Active,,|,
DECLARE,declare,declar,,,Strong,,,,| verb: Proclaim or manifest,
DECLINE#2,decline,declin,,Negativ,,Weak,,Passive,|,
DECOMPOSE,decompose,decompos,,Negativ,,,,Passive,|,
DECORATE,decorate,decor,Positiv,,,,Active,,|,
DECREASE#2,decrease,decreas,,Negativ,,Weak,,Passive,|,
DEDICATE#2,dedicate,dedic,Positiv,,Strong,,,,|,
DEDUCE,deduce,deduc,Positiv,,,,Active,,|,
DEDUCT,deduct,deduct,,,,,Active,,|,
DEEM,deem,deem,,,,,,Passive,|,
DEEPEN,deepen,deepen,,,Strong,,Active,,|,
DEFAME,defame,defam,,Negativ,,,Active,,|,
DEFAULT,default,default,,Negativ,,,Active,,|,
DEFEAT#2,defeat,defeat,,Negativ,Strong,,Active,,| 55% verb: To overthrow or overcome,55.0
DEFECATE,defecate,defec,,,,,,,,
DEFEND,defend,defend,Positiv,,Strong,,Active,,"| verb: To ward off or repulse attacks, to uphold",
DEFER,defer,defer,,,,,,Passive,|,
DEFILE,defile,defil,,Negativ,,,Active,,|,
DEFINE,define,defin,,,,,,,|,
DEFRAY,defray,defray,,,,,,,,
DEFY,defy,defi,,Negativ,Strong,,Active,,|,
DEGRADE,degrade,degrad,,Negativ,,,Active,,|,
DEJECT,deject,deject,,,,,,,,
DELAY#2,delay,delay,,Negativ,,Weak,,Passive,|,
DELIBERATE#2,deliberate,deliber,,,Strong,,Active,,|,
DELIGHT#2,delight,delight,Positiv,,,,,,|,
DELIVER,deliver,deliv,,,Strong,,Active,,|,
DELUDE#2,delude,delud,,,,,,,,
DEMAND#2,demand,demand,,,Strong,,Active,,"| 52% verb: To ask for or about boldly or urgently, to need, require",52.0
DEMEAN,demean,demean,,Negativ,,,Active,,|,
DEMOBILIZE,demobilize,demobil,,,,,,,,
DEMOLISH,demolish,demolish,,Negativ,Strong,,Active,,|,
DEMONSTRATE,demonstrate,demonstr,,,Strong,,Active,,|,
DEMORALIZE,demoralize,demor,,Negativ,Strong,,,,|,
DENOTE,denote,denot,,,,,,,|,
DENOUNCE,denounce,denounc,,Negativ,,,Active,,|,
DENT,dent,dent,,Negativ,,,Active,,|,
DENY,deny,deni,,Negativ,,,,,"| verb: To maintain that something is not true, negate; refuse to grant, withhold",
DEPART,depart,depart,,,,,Active,,|,
DEPEND#1,depend,depend,,,,Weak,,Passive,| 73% verb: Be contingent,73.0
DEPICT,depict,depict,,,,,,,|,
DEPLETE,deplete,deplet,,Negativ,,,,,|,
DEPLORE,deplore,deplor,,Negativ,,,,Passive,|,
DEPLOY,deploy,deploy,,,Strong,,Active,,|,
DEPOSE,depose,depos,,Negativ,,,Active,,|,
DEPRECIATE,depreciate,depreci,,Negativ,,Weak,,Passive,|,
DEPRESS#3,depress,depress,,Negativ,,,,,"| 13% verb: To discourage, sadden; to lower, reduce, press down on (2)",13.0
DEPRIVE,deprive,depriv,,Negativ,Strong,,Active,,|,
DERIDE,deride,derid,,Negativ,,,Active,,|,
DERIVE,derive,deriv,,,,,Active,,|,
DESCEND,descend,descend,,,,Weak,,,| verb: To come down,
DESCRIBE,describe,describ,,,,,,,| verb: To depict in words,
DESCRY,descry,descri,Positiv,,,,Active,,|,
DESERT#2,desert,desert,,Negativ,,,,,"| 14% verb: To abandon, forsake",14.0
DESERVE,deserve,deserv,Positiv,,,,,,|,
DESIGN#2,design,design,,,,,Active,,"| 52% verb: To prepare plans for, plan, outline; to contrive (0)",52.0
DESIGNATE#2,designate,design,,,Strong,,Active,,|,
DESIRE#2,desire,desir,,,,,,Passive,"| 32% verb: To long or yearn, earnestly wish",32.0
DESPAIR#2,despair,despair,,Negativ,,Weak,,Passive,|,
DESPISE#2,despise,despis,,Negativ,Strong,,,,|,
DESTINE,destine,destin,,,,,,,,
DESTROY,destroy,destroy,,Negativ,Strong,,Active,,| verb: To put an end to or reduce to useless form,
DESTRUCT,destruct,destruct,,,,,,,,
DETACH,detach,detach,,,,,,,,
DETAIN,detain,detain,,Negativ,,,Active,,|,
DETECT#2,detect,detect,,,,,Active,,|,
DETER,deter,deter,,Negativ,Strong,,Active,,|,
DETERMINE#1,determine,determin,,,Strong,,Active,,"| 56% verb: To ascertain, decide or settle, authoritatively or resolutely",56.0
DETERRED,deterred,deter,,,,,,,,
DETEST,detest,det,,Negativ,,,Active,,|,
DETRACT,detract,detract,,Negativ,,,Active,,|,
DEVASTATE,devastate,devast,,Negativ,Strong,,Active,,|,
DEVELOP,develop,develop,,,Strong,,Active,,"| verb: To evolve, strengthen, or elaborate.",
DEVIATE,deviate,deviat,,Negativ,,,Active,,|,
DEVISE,devise,devis,,,,,,,|,
DEVOLVE,devolve,devolv,,,,,,,,
DEVOTE#1,devote,devot,Positiv,,,,Active,,"| 75% verb: To give up to or concentrate on a particular pursuit, occupation,  purpose, cause, to set apart or dedicate",75.0
DICTATE,dictate,dictat,,Negativ,,,Active,,|,
DID#1,did,do,,,,,,,|,
DIE,die,die,,,,,,,"| verb: To cease to live, exist or function",
DIET#2,diet,diet,,,,,,,|,
DIFFER,differ,differ,,Negativ,,,Active,,|,
DIFFERENTIATE,differentiate,differenti,,,,,,,,
DIG#1,dig,dig,Positiv,,,,,,"| 93% verb: To excavate, to bore into; slang--to understand or appreciate (2)",93.0
DIGNIFY,dignify,dignifi,Positiv,,,,Active,,|,
DIM#2,dim,dim,,Negativ,,,,,|,
DIMINISH,diminish,diminish,,,,Weak,,Passive,|,
DING,ding,ding,,,,,,,,
DIP,dip,dip,,,,,Active,,|,
DIRECT#1,direct,direct,,,Strong,,Active,,"| 44% verb: To manage, control, instruct, guide, aim",44.0
DISABLE,disable,disabl,,Negativ,,,Active,,|,
DISAGREE,disagree,disagre,,,,,,,| verb: To differ,
DISAPPEAR,disappear,disappear,,,,,,Passive,| verb: To pass out of sight,
DISAPPOINT#3,disappoint,disappoint,,Negativ,,,,,| 12% verb: To displease,12.0
DISAPPROVE,disapprove,disapprov,,Negativ,,,,,|,
DISARM,disarm,disarm,,Negativ,,,Active,,|,
DISAVOW,disavow,disavow,,Negativ,,,,,|,
DISCARD#2,discard,discard,,,,,Active,,|,
DISCERN,discern,discern,Positiv,,,,Active,,|,
DISCHARGE#2,discharge,discharg,,Negativ,Strong,,Active,,|,
DISCIPLINE#2,discipline,disciplin,,,Strong,,Active,,"| 25% verb-adj: To train, drill--especially in a punitive sense",25.0
DISCLAIM,disclaim,disclaim,,Negativ,,,,,|,
DISCLOSE#2,disclose,disclos,,,,,,,|,
DISCONTINUE#2,discontinue,discontinu,,,,,,,|,
DISCOUNT#2,discount,discount,,,,,,Passive,|,
DISCOURAGE#2,discourage,discourag,,Negativ,,,Active,,|,
DISCOVER,discover,discov,,,,,,,| verb: To find or find out,
DISCREDIT,discredit,discredit,,Negativ,,,Active,,|,
DISCRIMINATE,discriminate,discrimin,,Negativ,,,Active,,|,
DISCUSS,discuss,discuss,Positiv,,,,,,"| verb: To talk over, negotiate, inquire into, explore verbally",
DISGUST#2,disgust,disgust,,Negativ,,,,,| 6% verb: To be revolting or abhorrent to someone,6.0
DISH#2,dish,dish,,,,,,,|,
DISHONOR,dishonor,dishonor,,Negativ,,Weak,Active,,|,
DISLIKE#1,dislike,dislik,,Negativ,,,,Passive,| 71% verb: To have an aversion toward,71.0
DISMISS#2,dismiss,dismiss,,Negativ,,,Active,,|,
DISPEL,dispel,dispel,,Negativ,,,Active,,|,
DISPENSE,dispense,dispens,,Negativ,,,Active,,|,
DISPERSE,disperse,dispers,,,,,Active,,|,
DISPLACE,displace,displac,,Negativ,,,Active,,|,
DISPLAY#2,display,display,,,,,,,|,
DISPLEASE,displease,displeas,,Negativ,,Weak,,Passive,|,
DISPOSE#2,dispose,dispos,,Negativ,Strong,,Active,,|,
DISPROVE,disprove,disprov,,Negativ,,,Active,,|,
DISPUTE#2,dispute,disput,,Negativ,,,Active,,|,
DISREGARD,disregard,disregard,,Negativ,,,Active,,|,
DISRUPT,disrupt,disrupt,,Negativ,,,Active,,|,
DISSATISFY,dissatisfy,dissatisfi,,Negativ,,Weak,,,|,
DISSOLVE#2,dissolve,dissolv,,,Strong,,Active,,|,
DISTINGIUSH#2,distingiush,distingiush,,,,,,,,
DISTINGUISH#2,distinguish,distinguish,Positiv,,,,,,|,
DISTORT,distort,distort,,Negativ,,,,,|,
DISTRACT,distract,distract,,Negativ,,,Active,,|,
DISTRESS#2,distress,distress,,Negativ,,Weak,,Passive,|,
DISTRIBUTE,distribute,distribut,,,,,Active,,|,
DISTURB#1,disturb,disturb,,Negativ,,,Active,,"| 44% verb: To disquiet, to interrupt",44.0
DITCH#2,ditch,ditch,,,,,,,|,
DIVE,dive,dive,,,,,Active,,|,
DIVERT,divert,divert,,Negativ,,,Active,,|,
DIVIDE#1,divide,divid,,Negativ,Strong,,Active,,"| 83% verb: Separate, classify, parcel out",83.0
DIVINE#2,divine,divin,Positiv,,Strong,,,,|,
DIVORCE#2,divorce,divorc,,Negativ,,,Active,,"| 14% verb: To separate, usually to dissolve a marriage",14.0
DO#1,do,do,,,Strong,,Active,,"| 29% verb: To perform, execute, accomplish, deal with as required",29.0
DOCTOR#2,doctor,doctor,,,,,,,"| 0% verb: To act as a doctor, to fix",0.0
DOMINATE#1,dominate,domin,,Negativ,Strong,,Active,,| 92% verb: To control,92.0
DON'T,don't,do,,,,,,,|,
DONATE,donate,donat,Positiv,,,,Active,,|,
DONE,done,do,,,Strong,,,,"| verb-adj: Completed, finished, performed, executed, dealt with, tried,  accomplished, committed, arranged, fixed.",
DOOM#2,doom,doom,,Negativ,,Weak,,Passive,|,
DOTE,dote,dote,Positiv,,,,Active,,|,
DOUBLE#2,double,doubl,,,Strong,,Active,,"| 10% verb: To render or become twofold in form, size, amount or number;  serve a dual function (0)",10.0
DOUBT#2,doubt,doubt,,Negativ,,,,Passive,"| 41% verb: To question, be uncertain about",41.0
DRAFT#2,draft,draft,,,,,,,|,
DRAG,drag,drag,,Negativ,,,Active,,|,
DRAIN#2,drain,drain,,,,,,,|,
DRANK,drank,drink,,,,,Active,,"| verb: Past tense of ""drink""--imbibed",
DRAW#1,draw,draw,,,,,Active,,"| 70% verb: To pull, move, pull back, extract, attract",70.0
DREAD,dread,dread,,Negativ,,,,Passive,|,
DREAM#2,dream,dream,,,,,,Passive,"| 56% verb: To create fantasies, to create or recreate by conscious or subconscious  imagination",56.0
DREAMT,dreamt,dream,,,,,,Passive,| verb: Past tense of dream.,
DRESS#2,dress,dress,,,,,Active,,"| 18% verb: To put on clothing, give a finish to",18.0
DREW#1,drew,draw,,,,,,,|,
DRIFT#2,drift,drift,,,,,,Passive,|,
DRILL#2,drill,drill,,,,,Active,,|,
DRINK#2,drink,drink,,,,,Active,,| 68% verb: To imbibe,68.0
DRIP#2,drip,drip,,,,,,,|,
DRIVE#1,drive,drive,,,,,Active,,"| 55% verb: To direct or steer, usually a car; to mean--""what is he driving at?"" (0)",55.0
DRIVE#2,drive,drive,,Negativ,Strong,,Active,,"| 20% verb: To force, impel or push into some psychological or other state,  generally negative--""he is driving me crazy""",20.0
DRIVEN#1,driven,drive,,,,,,,|,
DRIZZLE#2,drizzle,drizzl,,,,,,,|,
DROOP,droop,droop,,Negativ,,Weak,,Passive,|,
DROP#3,drop,drop,,Negativ,,Weak,,Passive,| 32% verb: To fall--intransitive,32.0
DROP#4,drop,drop,,Negativ,,Weak,Active,,"| 56% verb: To let fall, give up--transitive",56.0
DROVE#1,drove,drive,,,,,Active,,"| 88% verb: Past tense of ""drive"" (sense 1)",88.0
DROWN#2,drown,drown,,Negativ,,Weak,,Passive,"| verb: To die by suffocation in water, generally by accident",
DRUNK#3,drunk,drunk,,,,,,,"| 7% verb: Imbibed (past tense of ""drink"")",7.0
DRY#2,dry,dri,,,,,,,| 35% verb: To make free from moisture,35.0
DUMP#2,dump,dump,,Negativ,,,Active,,|,
DWELL,dwell,dwell,,,,,,Passive,|,
DWINDLE,dwindle,dwindl,,Negativ,,,,,|,
DYING#1,dying,die,,Negativ,,Weak,,Passive,"| 87% verb: Ceasing to live or exist; eager (with ""to"") (1)",87.0
EAR#3,ear,ear,,,,,,,"| 2% idiom: ""Play (it) by ear""--handled by ""play""",2.0
EARN#1,earn,earn,,,Strong,,Active,,| 72% verb: To gain by dint of work,72.0
EASE#2,ease,eas,Positiv,,,,,,| 20% verb: To make less strained,20.0
EAT#1,eat,eat,,,,,Active,,| 98% verb: To devour,98.0
ECHO#2,echo,echo,,,,,,,|,
ECONOMIZE,economize,econom,Positiv,,,,Active,,|,
EDGE#2,edge,edg,,,,,,,"| 0% verb: To advance by small steps, to win by a small margin",0.0
EDUCATE,educate,educ,,,Strong,,Active,,| verb: To instruct.,
EDUCATED#2,educated,educ,,,,,,,"| 0% verb: Taught, instructed",0.0
EFFECT#2,effect,effect,,,Strong,,Active,,"| 6% verb: To produce some result, to cause or make something happen",6.0
ELABORATE,elaborate,elabor,Positiv,,,,Active,,|,
ELAPSE#2,elapse,elaps,,,,,,Passive,|,
ELECT#1,elect,elect,,,,,Active,,"| verb: To choose, usually by vote",
ELEVATE#2,elevate,elev,,,Strong,,Active,,|,
ELIMINATE,eliminate,elimin,,Negativ,Strong,,Active,,|,
EMASCULATE,emasculate,emascul,,,,,,,,
EMBARK,embark,embark,,,,,,,,
EMBARRASS,embarrass,embarrass,,Negativ,,,Active,,|,
EMBELLISH,embellish,embellish,Positiv,,,,Active,,|,
EMBITTER,embitter,embitt,,,,,,,,
EMBODY,embody,embodi,,,,,,,,
EMBRACE#2,embrace,embrac,Positiv,,,,Active,,|,
EMERGE#2,emerge,emerg,,,,,Active,,|,
EMPHASIZE,emphasize,emphas,,,Strong,,,,|,
EMPLOY,employ,employ,,,Strong,,,,|,
EMPOWER,empower,empow,Positiv,,Strong,,Active,,|,
EMPTY#2,empty,empti,,Negativ,,,Active,,| 4% verb: To void,4.0
ENABLE,enable,enabl,Positiv,,Strong,,,,|,
ENACT,enact,enact,,,Strong,,Active,,|,
ENCHANT#2,enchant,enchant,Positiv,,,,,,|,
ENCLOSE#2,enclose,enclos,,,Strong,,Active,,|,
ENCOMPASS,encompass,encompass,,,Strong,,,,|,
ENCOUNTER#2,encounter,encount,,,,,,,|,
ENCOURAGE#1,encourage,encourag,Positiv,,,,Active,,"| 98% verb: To inspire with confidence, hearten, urge",98.0
ENCROACH,encroach,encroach,,Negativ,,,,,|,
END#2,end,end,,,,,Active,,"| 29% verb: To finish, terminate",29.0
ENDANGER,endanger,endang,,Negativ,,,,,|,
ENDEAR,endear,endear,Positiv,,,,Active,,|,
ENDEAVOR,endeavor,endeavor,,,,,Active,,|,
ENDORSE,endorse,endors,Positiv,,Strong,,,,|,
ENDOW,endow,endow,Positiv,,,,Active,,|,
ENDURE#2,endure,endur,,,Strong,,,Passive,|,
ENERGIZE,energize,energ,Positiv,,Strong,,Active,,|,
ENFORCE,enforce,enforc,,Negativ,Strong,,Active,,|,
ENGAGE#3,engage,engag,,,,,Active,,| 29% verb: To take part in,29.0
ENGULF,engulf,engulf,,Negativ,Strong,,Active,,|,
ENHANCE,enhance,enhanc,Positiv,,Strong,,,,|,
ENJOY,enjoy,enjoy,Positiv,,,,,Passive,"| verb: To take pleasure in; to have as one's priviledge, advantage, fortune,  or lot (5)",
ENLARGE#2,enlarge,enlarg,,,,,,,,
ENLIGHTEN#2,enlighten,enlighten,Positiv,,,,,,|,
ENLIST#1,enlist,enlist,,,,,,,,
ENRAGE,enrage,enrag,,Negativ,,,,,|,
ENRICH,enrich,enrich,Positiv,,Strong,,Active,,|,
ENROLL,enroll,enrol,,,,,Active,,|,
ENSLAVE,enslave,enslav,,Negativ,,,,,|,
ENSURE,ensure,ensur,Positiv,,Strong,,,,|,
ENTAIL,entail,entail,,,,,,,,
ENTANGLE,entangle,entangl,,Negativ,,,,,|,
ENTER,enter,enter,,,,,Active,,"| verb: To make entry, literally -'enter the house'- or figuratively -'enter  college'; to begin, become involved in- 'enter into a contract', 'enter  upon a new phase'",
ENTERTAIN#2,entertain,entertain,Positiv,,,,Active,,|,
ENTITLE,entitle,entitl,,,Strong,,,,|,
ENTREAT,entreat,entreat,,Negativ,,Weak,,,|,
ENTRUST,entrust,entrust,Positiv,,,,Active,,|,
ENUNCIATE,enunciate,enunci,,,,,,,,
ENVISAGE,envisage,envisag,,,,,,,,
ENVISION,envision,envis,Positiv,,,,Active,,|,
EQUAL#3,equal,equal,,,Strong,,,,| 0% verb: To be or become equal,0.0
